Game,Minimum PC Requirements,Average Hours,Platform
Imperial Glory,Minimum:OS: Windows XPProcessor: 1 GHz ProcessorMemory: 256 MB RAMGraphics: 3D graphics card compatible with DirectX 7DirectX: Version 7.0Storage: 2 GB available spaceSound Card: DirectX 9 compatible sound,170.0,PC
Stronghold Kingdoms,OS: Windows XP SP2 Windows Vista SP1 or Windows 7/8/10 (Windows Update Recommended)Processor: 1GHz or FasterMemory: 512Mb RAM for Windows XP (1GB for Windows Vista & 7)Hard Disk Space: 150 Mb of Hard Drive SpaceVideo Card: DirectX 9 Compatible Graphics Card,100.07,PC
Grand Theft Auto V,Minimum:OS: Windows 8.1 64 Bit Windows 8 64 Bit Windows 7 64 Bit Service Pack 1 Windows Vista 64 Bit Service Pack 2* (*NVIDIA video card recommended if running Vista OS)Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10 10.1 11)Storage: 65 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets integrated and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation online play and periodic entitlement verification; software installations required including Rockstar Games Social Club platform DirectX  Chromium and Microsoft Visual C++ 2008 sp1 Redistributable Package and authentication software that recognizes certain hardware attributes for entitlement digital rights management system and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.,85.34,PC
Football Manager 2016,Minimum:OS: Windows Vista 7 8 10Processor: Intel Pentium 4 Intel Core AMD Athlon 2.2GHz+Memory: 2 GB RAMGraphics: NVidia GeForce FX 5900 Ultra ATI Radeon 9800 Pro Intel GMA X3100 256MB VRAMDirectX: Version 9.0cStorage: 3 GB available spaceAdditional Notes: Earlier cards may only display 2D Match Viewer Mode and are not supported.  Earlier cards may require the DirectX 9.0 SDK is installed to run the game. Laptop versions of these chipsets may work but are not supported.,85.06,PC
NBA 2K16,Minimum:OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel Core2 Duo or better (SSE3 or later)Memory: 4 GB RAMGraphics: DirectX 10.1 compatible (512 MB) or betterDirectX: Version 10Storage: 50 GB available spaceSound Card: DirectX 9.0x compatibleAdditional Notes: Dual-analog gamepad; Additional Notes: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2010.,82.78,PC
Star Trek Online,OS: Windows XP SP2 / Windows Vista / Windows 7Processor: Intel Core 2 Duo 1.8 Ghz or AMD Athlon X2 +3800Memory: 1GB RAMGraphics: NVIDIA GeForce 7800 / ATI Radeon X1800 / Intel HD GraphicsDirectX(r): Version 9.0c or HigherHard Drive: 10GB Free Disk SpaceNetwork: Broadband Internet Connection Required,70.02,PC
Rocksmith 2014,Minimum:OS:Windows Vista Windows 7 Windows 8Processor:2.66 GHz Intel Core2 Duo E6750 or 2.8 GHz AMD Athlon 64 X2 5600+Memory:2 GB RAMGraphics:256 MB DirectX 9 / NVIDIA(r) GeForce(r) 8600 GT or ATI Radeon(tm) HD 2600 XTHard Drive:12 GB HD spaceSound:DirectX 9.0c-compliant,69.26,PC
Mortal Kombat X,Minimum:OS: 64-bit: Vista Win 7 Win 8 Win 10Processor: Intel Core i5-750 2.67 GHz | AMD Phenom II X4 965 3.4 GHzMemory: 3 GB RAMGraphics: NVIDIA GeForce GTX 460 | AMD Radeon HD 5850DirectX: Version 11Network: Broadband Internet connectionStorage: 36 GB available space,68.37,PC
APB Reloaded,Minimum:OS:Windows XPProcessor:Intel Core 2 Duo E6420 (2.13GHz) or AMD Athlon x2 5800+ (3.0GHz)Memory:3 GB RAMGraphics:GeForce 7800 with 256MB and support for Pixel Shader 3.0 or AMD equivalentDirectX(r):dx90cHard Drive:7 GB HD spaceOther Requirements:Broadband Internet connection,66.94,PC
Terraria,REQUIREDOS: Windows Xp Vista 7 8/8.1 10 Processor: 2.0 Ghz Memory: 2.5GBHard Disk Space: 200MB  Video Card: 128mb Video Memory capable of Shader Model 2.0+ DirectX(r): 9.0c or Greater,65.11,PC
Fallout 4,Minimum:OS: Windows 7/8/10 (64-bit OS required)Processor: Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalentStorage: 30 GB available space,64.45,PC
Borderlands 2,Minimum:OS: Windows XP SP3Processor: 2.4 GHz Dual Core ProcessorMemory: 2 GB(XP)/ 2 GB(Vista)Hard Disk Space: 13 GB freeVideo Memory: 256 MBVideo Card: NVIDIA GeForce 8500 /ATI Radeon HD 2600Sound: DirectX 9.0c CompatibleOther Requirements:Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include Steam Client DirectX 9 Microsoft .NET 4 Framework Visual C++ Redistributable 2005 Visual C++ Redistributable 2008 Visual C++ Redistributable 2010 and AMD CPU Drivers (XP Only/AMD Only),58.73,PC
Hearts of Iron III,Operating System: Microsoft(r) Windows(r) 2000/XP/Vista                Processor: Intel Pentium IV 2.4 GHz or AMD 3500+                 Memory: 2 GB of RAM                Hard Disk Space: 2 GB                Video Card: NVIDIA GeForce 8800 or ATI Radeon X1900 videocard                Sound: Direct X-compatible sound card                DirectX(r): Direct X 9.0,57.29,PC
Farming Simulator 2011,Minimum:OS: Microsoft Windows XP Vista and 7Processor: 2.0 GHz Intel or equivalent AMD processorMemory: 1 GB RAMGraphics: Nvidia Geforce 6800 Series ATI Radeon X850 S3 Chrome 430 GT or better (min 256 MB VRAM)Hard Drive: 1 GB free hard drive spaceSound: Sound card,54.75,PC
Pro Evolution Soccer 2016,Minimum:OS: Windows 10 / 8.1 / 8 / 7 SP1 / Vista SP2Processor: Intel Core 2 Duo @ 1.8 GHz  (AMD Athlon II X2  240  or equivalent processor)Memory: 1 GB RAMGraphics: nVidia GeForce 8800 / ATI Radeon X1600 / Intel HD Graphics 3000 or betterDirectX: Version 9.0cStorage: 9 GB available spaceSound Card: DirectX 9.0c Compatible sound card,54.67,PC
NBA 2K13,Minimum:OS:WindowsProcessor:Pentium 4 2.4 GHz Single Core processor or equivalent (2.8 GHZ for Vista/Win 7)Memory:512 MB or More (1 GB for Vista/Win 7)Graphics:DirectX 9.0c compatibleHard Drive:8 GB or more free spaceSound:DirectX 9.0c compatibleVideo Card:128 MB or more memory and one of the following chipsets is required: Radeon HD 2400 or greater; NVIDIA 6800 GT or greater; DirectX 9.0c compatible card with Shader Model 3.0 support.,50.78,PC
Supreme Commander 2,OS: Windows XP/Vista/Windows 7Processor: 3.0 GHz or better  AMD or Intel CPUMemory: 1GB RAM (XP) 1.5GB RAM (Vista / Win 7)Graphics: 256 MB VRAM with Pixel Shader 3.0DirectX(r): DirectX 9.0Hard Drive: 4-5 GB for full install & DirectXSound: No accelerated sound hardware requiredOther requirements: Internet Connection with Cable / Broadband,45.41,PC
Mass Effect 2,OS: Windows XP SP3 / Windows Vista SP1 / Windows 7Processor: 1.8GHz Intel Core 2 Duo or equivalent AMD CPUMemory: 1 GB RAM for Windows XP / 2 GB RAM for Windows Vista and Windows 7Graphics: 256 MB (with Pixel Shader 3.0 support)DirectX(r): DirectX 9.0c August 2008 (included)Hard Drive: 15 GBSound: DirectX 9.0c compatibleSupported Chipsets: NVIDIA GeForce 6800 or greater; ATI Radeon X1600 Pro or greater. Please note that NVIDIA GeForce 7300 8100 8200 8300 8400 and 9300; ATI Radeon HD3200 and HD4350 are below minimum system requirements. Updates to your video and sound card drivers may be required.,44.5,PC
Hotel Giant 2,Minimum:OS: Windows 98 2000 ME XP Vista 7 8 (Windows 95 and NT not supported)Processor: 1.5 GHz CPUMemory: 512 MB RAMGraphics: NVIDIA GeForce 5 series or above ATI Radeon 9 series or above with at least 256MB video memoryHard Drive: 2 GB of free spaceSound: DirectX 9 compatible sound card,44.0,PC
Port Royale 2,OS: Windows XP / VistaProcessor: Pentium III (or compatible) with 700MHz (or higher)Memory: 128 MB RAM (for Windows 98SE or ME) 256 MB RAM (for Windows 2000 or XP)Graphics: DirectX-8 compatible Graphic CardDirectX(r): DirectX 9Hard Drive: 700MB of free spaceSound: DirectX-8 compatible Sound Card,43.95,PC
Left 4 Dead,Minimum:                    Supported OS: Windows(r) 7 32/64-bit / Vista 32/64 / XP                    Processor: Pentium 4 3.0GHz                     Memory: 1 GB                    Graphics: 128 MB Shader model 2.0 ATI 9600 NVidia 6600 or better                     Hard Drive: At least 7.5 GB of free space                    Sound Card: DirectX 9.0c compatible sound card,42.45,PC
