Game,Platform,Release Date,Genres,Rating,Average Hours,Minimum PC Requirements,Developer,Image Link
Imperial Glory,PC,2005-07-07,Strategy,4.21,170.0,Minimum:OS: Windows XPProcessor: 1 GHz ProcessorMemory: 256 MB RAMGraphics: 3D graphics card compatible with DirectX 7DirectX: Version 7.0Storage: 2 GB available spaceSound Card: DirectX 9 compatible sound,Pyro Studios,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Imperialglorycover.jpg/220px-Imperialglorycover.jpg
Stronghold Kingdoms,PC,2011-12-01,Strategy,2.59,100.07,OS: Windows XP SP2 Windows Vista SP1 or Windows 7/8/10 (Windows Update Recommended)Processor: 1GHz or FasterMemory: 512Mb RAM for Windows XP (1GB for Windows Vista & 7)Hard Disk Space: 150 Mb of Hard Drive SpaceVideo Card: DirectX 9 Compatible Graphics Card,Firefly Studios,//upload.wikimedia.org/wikipedia/en/thumb/2/26/SHK-logo.png/220px-SHK-logo.png
Grand Theft Auto V,PC,2013-09-17,Adventure,4.48,85.34,Minimum:OS: Windows 8.1 64 Bit Windows 8 64 Bit Windows 7 64 Bit Service Pack 1 Windows Vista 64 Bit Service Pack 2* (*NVIDIA video card recommended if running Vista OS)Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10 10.1 11)Storage: 65 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets integrated and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation online play and periodic entitlement verification; software installations required including Rockstar Games Social Club platform DirectX  Chromium and Microsoft Visual C++ 2008 sp1 Redistributable Package and authentication software that recognizes certain hardware attributes for entitlement digital rights management system and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.,Rockstar North,//upload.wikimedia.org/wikipedia/en/thumb/a/a5/Grand_Theft_Auto_V.png/220px-Grand_Theft_Auto_V.png
Football Manager 2016,PC,2015-11-13,Strategy,4.16,85.06,Minimum:OS: Windows Vista 7 8 10Processor: Intel Pentium 4 Intel Core AMD Athlon 2.2GHz+Memory: 2 GB RAMGraphics: NVidia GeForce FX 5900 Ultra ATI Radeon 9800 Pro Intel GMA X3100 256MB VRAMDirectX: Version 9.0cStorage: 3 GB available spaceAdditional Notes: Earlier cards may only display 2D Match Viewer Mode and are not supported.  Earlier cards may require the DirectX 9.0 SDK is installed to run the game. Laptop versions of these chipsets may work but are not supported.,Sports Interactive,//upload.wikimedia.org/wikipedia/en/thumb/a/a5/Football_Manager_2016_cover.jpg/220px-Football_Manager_2016_cover.jpg
NBA 2K16,PC,2015-09-25,Sports,2.95,82.78,Minimum:OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel Core2 Duo or better (SSE3 or later)Memory: 4 GB RAMGraphics: DirectX 10.1 compatible (512 MB) or betterDirectX: Version 10Storage: 50 GB available spaceSound Card: DirectX 9.0x compatibleAdditional Notes: Dual-analog gamepad; Additional Notes: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2010.,Visual Concepts,//upload.wikimedia.org/wikipedia/en/thumb/e/e0/NBA_2K16_cover_art.jpg/220px-NBA_2K16_cover_art.jpg
Star Trek Online,PC,2012-01-31,Massively Multiplayer,2.78,70.02,OS: Windows XP SP2 / Windows Vista / Windows 7Processor: Intel Core 2 Duo 1.8 Ghz or AMD Athlon X2 +3800Memory: 1GB RAMGraphics: NVIDIA GeForce 7800 / ATI Radeon X1800 / Intel HD GraphicsDirectX(r): Version 9.0c or HigherHard Drive: 10GB Free Disk SpaceNetwork: Broadband Internet Connection Required,Cryptic Studios,//upload.wikimedia.org/wikipedia/en/thumb/e/e2/Star_Trek_Online_cover.jpg/220px-Star_Trek_Online_cover.jpg
Rocksmith 2014,PC,2013-10-22,Arcade,3.89,69.26,Minimum:OS:Windows Vista Windows 7 Windows 8Processor:2.66 GHz Intel Core2 Duo E6750 or 2.8 GHz AMD Athlon 64 X2 5600+Memory:2 GB RAMGraphics:256 MB DirectX 9 / NVIDIA(r) GeForce(r) 8600 GT or ATI Radeon(tm) HD 2600 XTHard Drive:12 GB HD spaceSound:DirectX 9.0c-compliant,Ubisoft San Francisco,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Rocksmith_2014_cover.jpg/220px-Rocksmith_2014_cover.jpg
Mortal Kombat X,PC,2015-04-07,Action,3.87,68.37,Minimum:OS: 64-bit: Vista Win 7 Win 8 Win 10Processor: Intel Core i5-750 2.67 GHz | AMD Phenom II X4 965 3.4 GHzMemory: 3 GB RAMGraphics: NVIDIA GeForce GTX 460 | AMD Radeon HD 5850DirectX: Version 11Network: Broadband Internet connectionStorage: 36 GB available space,NetherRealm Studios,//upload.wikimedia.org/wikipedia/en/thumb/d/d0/Mortal_Kombat_X_Cover_Art.png/220px-Mortal_Kombat_X_Cover_Art.png
APB Reloaded,PC,2011-12-06,Shooter,2.26,66.94,Minimum:OS:Windows XPProcessor:Intel Core 2 Duo E6420 (2.13GHz) or AMD Athlon x2 5800+ (3.0GHz)Memory:3 GB RAMGraphics:GeForce 7800 with 256MB and support for Pixel Shader 3.0 or AMD equivalentDirectX(r):dx90cHard Drive:7 GB HD spaceOther Requirements:Broadband Internet connection,Realtime Worlds,//upload.wikimedia.org/wikipedia/en/thumb/f/f1/All_Points_Bulletin.jpg/220px-All_Points_Bulletin.jpg
Terraria,PC,2011-05-16,Platformer,4.01,65.11,REQUIREDOS: Windows Xp Vista 7 8/8.1 10 Processor: 2.0 Ghz Memory: 2.5GBHard Disk Space: 200MB  Video Card: 128mb Video Memory capable of Shader Model 2.0+ DirectX(r): 9.0c or Greater,Re-Logic,//upload.wikimedia.org/wikipedia/en/thumb/4/42/TerrariaLogo2.png/220px-TerrariaLogo2.png
